Company,Title,Location,Publish Time,Salary,Work Model,Match Score,Applicants,Min YOE,H1B Sponsor,Matched Skills,Missing Skills,URL
Snowflake,Data Engineer,"Menlo Park, California, United States",4 minutes ago,$132K/yr - $173K/yr,Hybrid,93.6539,41,1,True,"Data Pipeline Design, ETL, Data Ingestion, Python, SQL","Data Products Development, Apache Airflow, Snowflake",https://careers.snowflake.com/us/en/job/SNCOUS7A3BCD30825748F8B1059CEBAB8168BAEXTERNALENUSF01420175FC14046833B4032DE3254BB/data-engineer
The Trade Desk,Front End Engineer II - Reporting,Boulder,58 minutes ago,$103K/yr - $170K/yr,Onsite,94.1956,100,2,True,"React, JavaScript, TypeScript, Java, NodeJS, SQL, Computer science fundamentals","Enterprise level services, C#",https://boards.greenhouse.io/embed/job_app?token=5120336007&utm_source=jobright
Elanco,Senior Data Engineer,"Lake County, IN",13 hours ago,N/A,Onsite,95.9034,113,3,True,"Data pipeline design, Azure cloud platform, Azure Storage Blobs, Azure Data Lake Storage (ADLS), Azure SQL Database, Azure Cosmos DB, Azure SQL Data Warehouse, Azure Data Factory, Azure SDK, Azure CLI, Azure HDInsight, Azure Databricks, Azure Stream Analytics, Power BI, ETL/ELT development, Programming languages - Powershell, Programming languages - Java, Programming languages - Node.js, Programming languages - React/Redux, Programming languages - Python, Programming languages - SQL, SparkSQL","Development, Azure Import/Export Service, Dell Boomi integrations, Programming languages - C#, Hadoop ecosystem, Spark, Hive, Pig",https://elanco.wd5.myworkdayjobs.com/External_Career/job/IN---Bangalore/Senior-Data-Engineer_R0025555-2?source=LinkedIn
Empassion Health,Data Engineer (East Coast Remote),United States,7 hours ago,$120K/yr - $160K/yr,Remote,97.1619,25,2,True,"Data Engineering, Analytics Engineering, SQL, Python, Google Cloud Platform, BigQuery, Cloud Storage, AWS, Azure, Dbt, Data Modeling, Unit Testing, Data Pipeline Automation","Cloud Data Warehouses, Cloud Composer, Healthcare Data",https://jobs.lever.co/empassion.com/a87d1a09-99f1-4cb1-8550-37e39e356618/apply?utm_source=jobright
Attentive,Senior Analytics Engineer,United States,4 hours ago,$110K/yr - $155K/yr,Remote,90.6756,25,4,True,"SQL, Data visualization, Data modeling, ETL processes, Statistics, Dbt, Python","Looker, Tableau, R, Independence",https://boards.greenhouse.io/embed/job_app?token=4226675009&utm_source=jobright
Grant Street Group,Data Engineer,United States,2 hours ago,$80K/yr - $180K/yr,Hybrid,88.3801,200,N/A,True,"SQL, Data modeling, ETL, Python, AWS, GCP, Databricks, Shell scripting","Go, Groovy, Perl, Cloud data engineering, TechOps, Linux command line",https://jobs.lever.co/grantstreet/50b37d2c-be0d-4718-9ded-dafe63b03378/apply?source=LinkedIn
Aptos Retail,Software Developer L2,"Elkhart County, IN",12 hours ago,N/A,Onsite,98.0,200,1,True,"JavaScript, TypeScript, Node.js, React Native, Web application development frameworks, RESTful API design, Git, Relational databases, NoSQL databases, Unit testing, Integration testing",,https://aptos.wd108.myworkdayjobs.com/Aptos/job/IN-Bangalore-Office/Software-Developer-L2_JR100104?source=LinkedIn
Clarivate,Senior Software Engineer,"Ann Arbor, MI",18 hours ago,N/A,Hybrid,89.1821,195,3,True,"Software Development, Text Processing, Cross-Browser Development, Server-Side Services, RESTful Web APIs, Object-Oriented Design, Design Patterns, Angular, AngularJS, TypeScript, JavaScript, HTML, CSS, Node.js, Relational Databases","Intellectual Property Domain, Semantic Search, Cross-Platform Development, Security Practices, DotNet Framework, .NET Framework, C#, ASP.NET Core, Secure Coding, Code Reuse, SCSS, Version Upgrades, Package Management, Npm, NuGet",https://careers.clarivate.com/job/CLACLAGBJREQ135363EXTERNALENGB/Senior-Software-Engineer?utm_source=linkedin&utm_medium=phenom-feeds
The Walt Disney Company,Data Engineer I,"Santa Monica, CA",11 hours ago,$89K/yr - $119K/yr,Onsite,95.0502,200,N/A,True,"SQL, Data modeling, ETL design patterns, ELT design patterns, Distributed data processing, Databricks, Data governance, AWS, S3, IAM, EC2, Lambda, Data ingestion pipelines, Semi-structured data formats, JSON, Git, GitHub, CI/CD, DevOps practices","PySpark, Spark SQL, Delta Lake, Unity Catalog, Lakehouse patterns, Glue, Airflow, Parquet, CSV",https://www.disneycareers.com/job/-/-/391/94304799376?source=LINKEDIN_JOB_SLOTS
Fannie Mae,Full Stack Software Engineer,"Reston, VA, US",2 hours ago,$123K/yr - $161K/yr,Hybrid,90.3057,25,2,True,"Software Development Lifecycle (SDLC), Java, TypeScript, Python, Angular, Data Modeling, SQL, Query Optimization, PostgreSQL, DynamoDB, Git, CI/CD Tooling, Docker, AWS CloudFormation, Cloud-native Solutions on AWS, Generative AI Tools, NodeJS","Schema Design, Jenkins, Terraform, Microsoft Copilot, ChatGPT, Mortgage Banking Domain Knowledge, Bond Markets Domain Knowledge, Financial Risk Analytics, Mortgage Backed Securities (MBS), Mortgage Loans, Debt Instruments, Derivatives, SpringBoot",https://fanniemae.wd1.myworkdayjobs.com/FannieMaeCareers/job/Reston-VA/Full-Stack-Software-Engineer_JR2397
