Company,Title,Location,Publish Time,Salary,Work Model,Match Score,Applicants,Min YOE,H1B Sponsor,Matched Skills,Missing Skills,URL
Cresta,"Senior/Staff Backend Engineer (AI Agent), Remote",United States,3 hours ago,$190K/yr - $300K/yr,Remote,89.4234,200,4,True,"Cloud services, API design, Containerization Kubernetes, Containerization Docker, Cloud environments Azure","Backend system architecture, Database optimization, Cloud environments AWS, Cloud environments Google Cloud",https://jobright.ai/jobs/info/b2b_1769670052353_604
Zendesk,"Senior Fullstack Engineer, Solve","Madison, WI",35 minutes ago,$145K/yr - $217K/yr,Hybrid,83.1006,25,3,True,"API Development, System Design, Event-driven Systems, WebSockets, WebRTC","Backend Engineering, Asynchronous Systems, Real-time Systems, Streaming APIs, Low-latency APIs, Product Quality Focus",https://zendesk.wd1.myworkdayjobs.com/en-US/zendesk/job/Austin-Texas-United-States-of-America/Senior-Fullstack-Engineer--Solve_R34789?source=LinkedIn
Publicis Sapient,"Senior Backend Engineer (Java, AWS,React)","Boston, MA",14 hours ago,$125K/yr - $155K/yr,Onsite,95.8347,192,N/A,True,"Java, Microservices, System design, AWS, React, RESTful API design, Containerization, Docker, Kubernetes, CI/CD pipelines, Shell scripting, SQL, NoSQL databases, Serverless computing, Event-driven architectures, API gateways, DevOps practices","Spring Boot, Spring Cloud, Messaging systems, Service mesh technologies, AWS certifications, Infrastructure as Code, Analytical skills",https://careers.publicissapient.com/job-details/2026-143853-senior-backend-engineer--java--aws-react--boston?mode=apply&iis=LinkedIn+Apply
ComboCurve,"Software Engineer, Python Backend (HK backfill)",United States,17 hours ago,N/A,Remote,87.7483,200,N/A,True,"Python, TypeScript, API Development, LLM Integrations, Relational Databases, Non-relational Databases, SQL, PostgreSQL, MongoDB, DynamoDB, Cloud Platforms, Amazon Web Services (AWS), Serverless Infrastructure, System Design","Backend Development, AI-assisted Development, Agent Frameworks, Google Cloud Platform (GCP), Oracle Cloud Infrastructure (OCI), Managed Infrastructure, Independent Ownership",https://ats.rippling.com/combocurve/jobs/8ec1e5cb-84d3-4083-8188-aed40311b40c?jobSite=LinkedIn
Uber,Software Engineer I,"Sunnyvale, CA",1 hour ago,$171K/yr - $209K/yr,Onsite,97.0308,25,N/A,True,"C++, Python, Java, GIT, SQL, MySQL, Data Structures, Algorithms, Debugging, Software Development Lifecycle, Object Oriented Programming","SVN, Technology Stack Design, Production Monitoring, Distributed Systems",https://tnl2.jometer.com/v2/job?jz=5wqzs1622bd232e2c476a99cbcbef59029440KMAGUCAAAABQ&iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=LinkedIn
Droisys,Data Engineer / AI & ML Engineer,LV Metro Area,6 hours ago,$60K/yr - $80K/yr,Onsite,90.3725,200,N/A,True,"Data Engineering, Machine Learning Engineering, Python, ML Model Deployment, JavaScript, TypeScript, AWS, Cloud Platforms","Backend API Development, FastAPI, Flask, Distributed Systems, Scalable Architecture",https://www.linkedin.com/jobs/view/4407942720
LG Ad Solutions,Senior Software Engineer I (Fullstack),"Denver, CO",12 hours ago,N/A,Onsite,93.172,200,3,True,"ReactJS, AngularJS, TypeScript, NodeJS, Relational databases, NoSQL databases, MySQL, MongoDB, Unit testing, Integration testing","Full stack software development, VueJS, Redis, Database design, Database optimization, End-to-end testing",https://jobs.ashbyhq.com/lgads/3991573f-986d-4397-92fa-30c4c0e70231
Cargomatic,AI Engineer,"Long Beach, CA",7 hours ago,$150K/yr - $210K/yr,Onsite,87.6769,106,3,True,"AI/ML, Agentic AI, Large Language Models (LLMs), LangChain, Event-driven architectures, Vector databases, Node.js, React, Cloud infrastructure, AWS Lambda, AWS ECS, AWS S3, Databases, MongoDB","Claude (Anthropic) API, OpenAI API, Prompt design, AI orchestration, Code-based AI frameworks, AutoGen, CrewAI, Workflow orchestration tools, N8n, Zapier, Temporal, Airflow, Real-time systems, Retrieval-augmented generation (RAG), Backend development, Frontend development",https://boards.greenhouse.io/embed/job_app?token=5207803008&utm_source=jobright
Kindbody,Software Engineer,United States,1 hour ago,N/A,Remote,78.199,25,3,True,"GraphQL, ETL automation, AWS, Docker, Container orchestration, REST APIs, PostgreSQL, MySQL","Ruby on Rails, Relay, Apollo, Data pipeline architecture, Redis, Memcached, HIPAA-compliant software, Empathy, Patience",https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=4b9cd2ac-91a0-403a-8081-1c5a825120fc&ccId=19000101_000001&jobId=579334&source=LR&lang=en_US&source=LI&source=LI
Ulteig,Software Development Engineer I,"Boise, Idaho, United States",3 hours ago,$99K/yr - $134K/yr,Onsite,95.74,25,1,True,"Software Development, Azure Platform, JavaScript, TypeScript, React, T-SQL, Python, DevOps","C#, Vue, Engineering Workflows, Electrical Engineering Knowledge",https://recruiting2.ultipro.com/ult1008ulte/JobBoard/71bc1da6-c7b0-4b37-9f7b-076d7d68c57b/OpportunityDetail?opportunityId=41232fc7-d572-4979-aae3-8759d1378546
Chewy,Software Engineer II,"Bellevue, WA",3 hours ago,$120K/yr - $190K/yr,Onsite,98.0,25,5,True,"Python, React, Java, SQL, APIs, Machine Learning, AI/LLM platforms, Computer Science fundamentals, Object-oriented design, Data structures, Algorithm design, Software development life cycle, Coding standards, Code reviews, Source control management, Testing, Application performance tuning, GitHub, DevOps, AWS, Terraform","Data models, Build processes, Operations, Jenkins, Customer first approach",https://careers.chewy.com/us/en/job/CHINUSR29491EXTERNALENUS/Software-Engineer-II?utm_source=linkedin&utm_medium=phenom-feeds?gh_src=o8ua3y1
JPMorganChase,Software Engineer II - Java Backend,"1301 2nd Ave, Seattle, WA, 98101, US",2 hours ago,$119K/yr - $150K/yr,Onsite,84.7819,36,2,True,"Software Engineering Concepts, Java, Python, System Design, Testing, Database Querying Languages, Software Development Life Cycle, CI/CD, Security","Production Data Systems, Streaming Systems, Scala, Application Development, Operational Stability, Agile Methodologies, Application Resiliency, Diversity, Inclusion",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210718541
International Academies of Emergency Dispatch,Software Developer II,"Salt Lake City, UT",5 hours ago,N/A,Hybrid,96.2603,25,3,True,"NodeJS, MS SQL Server, MySQL, Server-side development, Web services, API, JavaScript, React.js, Object-oriented programming, HTML, CSS, Website security, Version control, REST architecture","WCF, Next.js, Analytical abilities, Customer service attitude",https://paycomonline.net/v4/ats/web.php/portal/DE167225427108EF51BA308DE01A0BAB/jobs/527370
"Baanyan Software Services, Inc.",Java Software Engineer,"New Jersey, United States",8 hours ago,N/A,Onsite,90.6122,200,N/A,True,"Java, Microservices Architecture, REST APIs, API design, SQL, NoSQL databases, Docker, Containerization, Git, Version control","Spring Boot, Spring Cloud, JSON, Hibernate, JPA, Message brokers",https://www.linkedin.com/jobs/view/4407927584
